127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000928
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000851
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001409
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000642
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000743
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001204
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000752
127.0.0.1, 2016-10-10 14:58:49, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000504
127.0.0.1, 2016-10-10 14:58:50, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000500
127.0.0.1, 2016-10-10 14:58:50, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001029
127.0.0.1, 2016-10-10 14:58:50, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000719
127.0.0.1, 2016-10-10 14:58:55, GET, /welcome, HTTP/1.1, 200, 0.015463
127.0.0.1, 2016-10-10 14:58:58, GET, /admin/default/index, HTTP/1.1, 303, 0.003098
127.0.0.1, 2016-10-10 14:58:58, GET, /admin/default/site, HTTP/1.1, 200, 0.034964
127.0.0.1, 2016-10-10 14:59:02, GET, /admin/default/cleanup/hello, HTTP/1.1, 303, 0.021922
127.0.0.1, 2016-10-10 14:59:02, GET, /admin/default/site, HTTP/1.1, 200, 0.035290
127.0.0.1, 2016-10-10 14:59:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/default/site, HTTP/1.1, 200, 0.039024
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.000437
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.000690
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.001783
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001706
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.002313
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.002802
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 304, 0.001070
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001336
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.000633
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000848
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002029
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001033
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 304, 0.000427
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 304, 0.000211
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 304, 0.000354
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 304, 0.000563
127.0.0.1, 2016-10-10 14:59:08, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000248
127.0.0.1, 2016-10-10 14:59:11, GET, /admin/default/uninstall/hello, HTTP/1.1, 200, 0.040376
127.0.0.1, 2016-10-10 14:59:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2016-10-10 14:59:13, POST, /admin/default/uninstall/hello, HTTP/1.1, 303, 0.156129
127.0.0.1, 2016-10-10 14:59:13, GET, /admin/default/site, HTTP/1.1, 200, 0.030401
127.0.0.1, 2016-10-10 14:59:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2016-10-10 15:10:36, GET, /admin/default/site, HTTP/1.1, 200, 0.035195
127.0.0.1, 2016-10-10 15:10:38, GET, /admin/default/site, HTTP/1.1, 200, 0.031706
127.0.0.1, 2016-10-10 15:10:40, GET, /admin/default/logout, HTTP/1.1, 303, 0.026752
127.0.0.1, 2016-10-10 15:10:40, GET, /admin/default/index, HTTP/1.1, 200, 0.026334
127.0.0.1, 2016-10-10 15:10:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000193
127.0.0.1, 2016-10-10 15:10:42, GET, /admin/default/site, HTTP/1.1, 303, 0.005635
127.0.0.1, 2016-10-10 15:10:42, GET, /admin/default/index, HTTP/1.1, 200, 0.022973
127.0.0.1, 2016-10-10 15:10:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
